,title,authors,genre,published_year,average_rating
302,Continental Drift,Russell Banks,Fiction,2007.0,3.87
303,The Burglar Who Thought He Was Bogart,Lawrence Block,Fiction,2006.0,3.89
304,Next,Michael Crichton,Fiction,2006.0,3.49
305,How to Be Popular,Meg Cabot,Juvenile Fiction,2006.0,3.54
306,The Annotated Charlotte's Web,E. B. White,Juvenile Nonfiction,2006.0,4.16
307,Charlotte's Web: Wilbur Finds a Friend,Jennifer Frantz,Juvenile Fiction,2006.0,4.1
308,The Autumn of the Patriarch,Gabriel Garcia Marquez,Fiction,2006.0,3.85
309,How to Make Money Like a Porn Star,Neil Strauss;Bernard Chang,Comics & Graphic Novels,2006.0,3.31
310,Little House in the Big Woods,Laura Ingalls Wilder,Juvenile Fiction,2007.0,4.18
311,Farmer Boy,Laura Ingalls Wilder,Juvenile Fiction,2006.0,4.06
312,The Long Winter,Laura Ingalls Wilder,Juvenile Fiction,2007.0,4.14
313,Little Town on the Prairie,Laura Ingalls Wilder,Juvenile Fiction,2007.0,4.18
314,The First Four Years,Laura Ingalls Wilder,Juvenile Fiction,2007.0,3.88
315,The Alchemist - Gift Edition,Paulo Coelho,Fiction,2006.0,3.85
316,Pretty Things,Liz Goldwyn,Biography & Autobiography,2006.0,4.31
317,Eaters of the Dead,Michael Crichton,Fiction,2006.0,3.66
318,Genome,Matt Ridley,Science,2006.0,4.03
319,The Zero,Jess Walter,Fiction,2006.0,3.5
320,Kitchen Confidential Updated Ed,Anthony Bourdain,Biography & Autobiography,2007.0,4.06
321,DREAM & THE UNDERWOR,James Hillman,Psychology,1979.0,4.23
322,The Crying of Lot 49,Thomas Pynchon,Fiction,1966.0,3.7
323,An American Childhood,Annie Dillard,Biography & Autobiography,1988.0,3.91
324,Teaching a Stone to Talk,Annie Dillard,Literary Criticism,1988.0,4.2
325,Holy the Firm,Annie Dillard,Literary Criticism,1988.0,4.22
326,Think on These Things,Jiddu Krishnamurti,Religion,1989.0,4.4
327,The Dance of Intimacy,Harriet Lerner,Psychology,1990.0,4.06
328,Tell My Horse,Zora Neale Hurston,Fiction,1990.0,3.97
329,Jonah's Gourd Vine,Zora Neale Hurston,Fiction,1990.0,4.0
330,The Chaneysville Incident,David Bradley,History,1990.0,3.96
331,The Writing Life,Annie Dillard,Literary Criticism,1990.0,4.03
332,The Lost Continent,Bill Bryson,Travel,1990.0,3.83
333,Three by Annie Dillard,Annie Dillard,Fiction,1990.0,4.34
334,Declarations of Independence,Howard Zinn,Political science,1991.0,4.26
335,The Complete Stories,Zora Neale Hurston,Fiction,1996.0,4.25
336,"Legends, Lies & Cherished Myths of World History",Richard Shenkman,History,1994.0,3.48
337,The Infinite Plan,Isabel Allende,Fiction,1994.0,3.71
338,Soul Mates,Thomas Moore,Psychology,1994.0,4.0
339,"Cathedral, Forge and Waterwheel",Joseph Gies,History,1995.0,3.85
340,The Throne of the Third Heaven of the Nations Millennium General Assembly,Denis Johnson,Poetry,1996.0,4.16
341,Success Stories,Russell Banks,Fiction,1996.0,3.72
342,Testaments Betrayed,Milan Kundera,Literary Collections,1996.0,4.04
343,Mr. Ives' Christmas,Oscar Hijuelos,Fiction,1996.0,3.76
344,Slowness,Milan Kundera,Fiction,1997.0,3.66
345,As Nature Made Him,John Colapinto,Medical,2001.0,3.97
346,The Active Side of Infinity,Carlos Castaneda,"Body, Mind & Spirit",1999.0,4.16
347,Brave New World,Aldous Huxley,Fiction,1998.0,3.98
348,You Can't Go Home Again,Thomas Wolfe,Fiction,1998.0,4.05
349,The Fifth Mountain,Paulo Coelho,Fiction,1999.0,3.62
350,V.,Thomas Pynchon,Fiction,1999.0,3.96
351,Identity,Milan Kundera,Fiction,1999.0,3.68
352,The Poisonwood Bible,Barbara Kingsolver,Fiction,1999.0,4.05
353,Cloudsplitter,Russell Banks,Fiction,1999.0,3.9
354,"Plato, Not Prozac!",Lou Marinoff,Philosophy,2000.0,3.39
355,The Crying of Lot 49,Thomas Pynchon,Fiction,1999.0,3.7
356,The Map That Changed the World,Simon Winchester;Soun Vannithone,Biography & Autobiography,2002.0,3.82
357,The Odyssey of Homer,Homer,Fiction,1999.0,3.75
358,Collected Novellas,Gabriel Garcia Marquez,Fiction,1999.0,4.01
359,Collected Stories,Gabriel Garcia Marquez,Fiction,1999.0,4.19
